DATE,OPEN,HIGH,LOW,CLOSE
15-11-1988,0.348214,0.350446,0.345982,0.348214
16-11-1988,0.348214,0.350446,0.337054,0.339286
17-11-1988,0.339286,0.34375,0.339286,0.341518
18-11-1988,0.34375,0.34375,0.339286,0.339286
21-11-1988,0.334821,0.337054,0.323661,0.327009
22-11-1988,0.325893,0.329241,0.321429,0.322545
23-11-1988,0.319196,0.330357,0.316964,0.329241
25-11-1988,0.323661,0.328125,0.321429,0.325893
28-11-1988,0.325893,0.328125,0.321429,0.325893
29-11-1988,0.325893,0.328125,0.321429,0.328125
30-11-1988,0.328125,0.339286,0.328125,0.335938
01-12-1988,0.337054,0.348214,0.334821,0.345982
02-12-1988,0.341518,0.356027,0.339286,0.350446
05-12-1988,0.352679,0.357143,0.345982,0.352679
06-12-1988,0.350446,0.354911,0.348214,0.352679
07-12-1988,0.348214,0.352679,0.345982,0.351563
08-12-1988,0.350446,0.350446,0.345982,0.34933
09-12-1988,0.350446,0.352679,0.345982,0.34933
12-12-1988,0.350446,0.352679,0.34375,0.34375
13-12-1988,0.34375,0.345982,0.341518,0.345982
14-12-1988,0.34375,0.357143,0.34375,0.354911
15-12-1988,0.357143,0.361607,0.350446,0.352679
16-12-1988,0.352679,0.361607,0.350446,0.358259
19-12-1988,0.359375,0.366071,0.357143,0.363839
20-12-1988,0.366071,0.370536,0.362723,0.366071
21-12-1988,0.366071,0.375,0.366071,0.372768
22-12-1988,0.372768,0.375,0.363839,0.366071
23-12-1988,0.366071,0.36942,0.366071,0.367188
27-12-1988,0.366071,0.370536,0.361607,0.361607
28-12-1988,0.361607,0.363839,0.354911,0.359375
29-12-1988,0.359375,0.363839,0.359375,0.361607
30-12-1988,0.361607,0.368304,0.359375,0.359375
03-01-1989,0.359375,0.361607,0.357143,0.360491
04-01-1989,0.363839,0.376116,0.361607,0.375
05-01-1989,0.375,0.386161,0.368304,0.377232
06-01-1989,0.377232,0.388393,0.377232,0.38058
09-01-1989,0.383929,0.385045,0.377232,0.383929
10-01-1989,0.379464,0.382813,0.370536,0.38058
